text,label
विक्डलीक वाम्मी 7 एंड्रॉयड 4.0 के साथ आता है।,neu
"इस स्मार्टफोन में स्नेपडील, सावन, आस्कमी, पेटीएम और क्विकर जैसे एप प्री-इंस्टॉल्ड है।",neu
हमें इसका प्रोसेसर ज्यादा पसंद आया।,pos
फोन में केवल दो बटन हैं- आवाज़ कम ज्यादा करने के लिए और फोन को लाॅक करने के लिए।,neu
कंटेंट व टेक्सट के डिस्प्ले के लिए इसका स्क्रीन काफी बेहतर है।,pos
1 .86 गीगा हर्ट्ज का इंटेल प्रोसेसर कई बडे टास्क को एक साथ हैंडल कर सकता है।,pos
बुद्ध के उपदेशों को यहीं लिपिबद्ध किया गया गया था और पहली बौद्ध संगीति भी यहीं हुई थी।,pos
हालांकि नेविगेशन यूज करने पर या गेम खेलते हुए बैटरी बड़ी तेजी से खर्च होती है।,neg
जेड580 की तुलना में इसकी स्क्रीन ज्यादा ब्राइट और क्रिस्प है और इसमें रंग गहरे और बेहतर नज़र आते हैं।,pos
"हमने जल्दी से पता लगाया की समस्या उसके साथ दिये गए चार्जर में है, क्योंकि फोन पीसी से कनेक्ट करने के बाद जल्दी चार्ज होता है।",neg
कीमत के मामले में कोई तुलना नहीं है क्योंकि यह आईफॉन 6 प्लस के सबसे महंगे वैरिएंट को भी सस्ता ठहराता है।,neg
"हाई-रेजोल्यूशन फोन की तुलना में कम डेंस है, लेकिन जितना एक डेस्कटॉप को शॉर्प होना चाहिए, उससे ज्यादा शार्प है।",pos
"वैसे तो बोधगया में मन्दिर, पीपल वृक्ष, सरोवर, गुफा, संग्रहालयों की कमी नहीं है लेकिन सैलानियों के लिए सबसे ज्यादा आकर्षण का केंद्र महाबोधी मंदिर है जिसे देखने के लिए दुनियाभर के बौद्ध भिक्षु और पर्यटक गया की ओर रुख करते हैं।",pos
"इसका मतलब है आप अपना पेन ड्राइव, गेमिंग कंट्रोलर्स और अन्य सपोर्टेड यूएसबी डिवाइसों को फोन से कनेक्ट कर सकते हैं।",pos
'हवाईजादा' में गीतों के अत्यधिक उपयोग से कथा की गति बाधित होती है।,neg
"समुद्र तल से लगभग 5602 मीटर (18,380 फीट) की ऊँचाई पर स्थित यह दर्रा विश्व का सबसे ऊँचा दर्रा है।",neu
इस ऐप के माध्यम से आप इन विडियोज़ को लगभग अलग अलग 20 भाषाओं में देख सकते हैं।,pos
ये एक बड़ा एक्शन पीस है।,pos
सही सोच और कल्पना न हो तो वीएफएक्स बुरा हो जाता है।,neu
पांच इंच स्क्रीन 1080 पिक्सल के रिज़ोल्यूशन के साथ है।,neu
और उन्होंने धर्मपाल के किरदार को अच्छी तरह निभाया है।,pos
इस स्‍क्रीन की खास बात है अगर आप किताबें पढ़नें के शौकीन है तो फोन में देर तक ढेरों ईबुक पढ़ सकते हैं।,pos
इस डिवाइस में 4GB की इंटरनल मेमोरी दी गई है।,neu
इस टेबलेट के टचस्क्रीन का रिस्पोंस बहुत स्मूद और अच्छा है।,pos
लेकिन ग्राफिक्स की क्वालिटी काफी अच्छी है।,pos
बॉडी की बात करें तो कंपनी ने प्लास्टिक का उपयोग ज्यादा किया है।,neu
इसका सामने का हिस्सा सामान्य काले रंग में है।,neu
इसके अलावा इसके दूसरे फीचर्स में बिना ब्रॉडकास्टर के फाइल अपलोड किये भी रिप्पले सेव हो जाते हैं।,neu
"लाइव टीवी इस एप्प के इस्तेमाल करने और उसके लिए भुगतान करने के पूरे काम का मेन प्वॉइंट है, और यह बताते हुए मुझे बहुत खुशी हो रही है कि इसका अनुभव बहुत ही अच्छा है।",pos
20 हजार रु की कीमत में खूबसूरत सी डिजाइन वाला 5 इंच का फोन मिलता है।,pos
इससें एचडी रिकॉर्डिग की जा सकती है।,neu
"फिल्म की थीम के हिसाब से सलेटी रंग चुना गया है, लेकिन वह अधिक काम नहीं आ पाता।",neg
कैमरे की क्षमता बहुत अच्छी नहीं है।,neg
"भारतीय बाजार में इसकी 27,900 रुपये रखी गई है।",neu
"इस कीमत पर, बहुत सी अच्छी विशेषताओं के कारण ये लैपटॉप निश्चित रूप से एक बढ़िया विकल्प साबित होता है।",pos
एंड्रॉयड 4.4.4 से ऊपर के वर्जन पर करता है काम ।,neu
ग्लॉसी डिस्प्ले 5.7 इंच की फुल एचडी आइपीएस स्क्रीन है।,neu
रवि कुमार इसे उस भयानक हादसे की साधारण कहानी बना देते हैं।,neu
हमारे बैट्री परिक्षण से पता चला है कि आप साड़ेपाच घंटो तक फुल एचडी वीडीयो लगातार चला सकते हैं।,neu
"बोलचाल, पहनावे और उपयोगी वस्तुओं के उपयोग में सावधानी नहीं बरती गई है।",neg
"टेबलेट्स के लिए बने एप्स ही इस पर अच्छे लगते हैं, और यह एपल के पास काफी बड़ी मात्रा में है।",pos
वी5 का 720 पिक्सल एचडी डिस्प्ले संतोषजनक है।,neu
युवाओं के लिए यह फोन कमजोर रैम के कारण बहुत ज्यादा उपयुक्त नहीं है।,neg
"निश्चित रूप से इस टेबलेट की खास बात इसका टेगरा 4 चिपसेट है , जो इस टेबलेट को बेहद शक्तिशाली बनाता है।",pos
इसमें तीन यूएसबी पोर्ट और मेमोरी कार्ड रीडर के साथ फुल ईथरनेट पोर्ट और एचडीएमआई आउट दिया गया है।,neu
यह शानदार परफोर्मेश वाला है क्योंकि कंपनी ने इमें 2 जीबी रैम और 1.3 गीगाहर्त्ज क्वॉडकोर प्रोसेसर दिए हैं।,pos
बैटरी क्षमता को लेकर सोनी का दो दिनों का दावा।,neu
इस फोन में स्टनिंग स्क्रीन के साथ ग्रेट बिल्ट क्वालिटी उपलब्ध है।,pos
वैसे तो एन्वी डीवी6 का ग्राफ़िक चिप जेड580 की तुलना में ज्यादा शक्तिशाली है और कुछ परीक्षणों में इसके अनुरूप एन्वी डीवी6 के बेहतर परिणाम भी सामने आये हैं।,pos
इस डिवाईस के पिछले कैमरा का वाईट बॅलेंस और कलर रिप्रॉडक्शन अच्छा है।,pos
इस स्‍मार्टवॉच का वजन 45 ग्राम है।,neu
यह टैबलेट 55 प्री लोडेड एप्पलीकेशंस के साथ आता है।,neu
कहानी विक्रम भट्ट ने लिखी है और एक किरदार में वे स्वयं भी मौजूद हैं।,neu
"इस टेबलेट का डिस्प्ले अन्दर बहुत अच्छा काम करता है , और इसका देखने का एंगल भी काफी ज्यादा है।",pos
"एस्युस वियाओ सीरीज के इस नए कंप्यूटर को चौथी जनरेशन के इंटेल कोर टीएम आई5 और आई अथवा सेलेरोन प्रोसेसर के साथ उतारा गया है, जिसके चलते इनकी परफोर्मेश शानदार है।",pos
"यहां कुछ दूरी पर ही चौबीसी का ऐतिहासिक चबूतरा है, जो देशभर में चर्चित है।",pos
"वहीं अगर आप इसका फ्रंट फेस चेंज करना चाहते हैं, तो यह आसानी से बदला जा सकता है ।",pos
लैपटॉप में एंटी ग्‍लेयर एचडी लिड स्‍क्रीन दी गई है।,pos
देवघर के दक्षिण पश्चिम में स्थित सत्संग आश्रम झारखंड के प्रमुख तीर्थस्थलों में से एक है।,pos
इसमें 2300 एमएएच की बैटरी लगी है।,neu
स्क्रीन 1366x768 पिक्सल के एक संकल्प के साथ 15.6 इंच है।,neu
मोटो जी कीमत के टॅग पर पूरी तरह से खरा उतरता है।,pos
"स्क्रीन का रिज़ोल्यूशन 1024 गुणा 600 है , जो काफी अच्छा है।",pos
इस एप की एक बड़ी खूबी यह है कि इसमें आपको बार बार डिजिटल हस्ताक्षर करने की जरूरत नहीं पड़ती।,neu
"आईपैड 2 अपने पहले के आईपैड की तुलना में थोड़ा पतला और हल्का है , लेकिन इसमें वही डिस्प्ले और रेजोल्यूशन है।",neu
मोटो 360 स्मार्टवॉच दिखने में तो काफी कूल है ही साथ ही साथ अपने गोल आकार के डायल डिज़ाइन के साथ यह गूगल के लेटेस्ट एंड्रॉयड प्लेटफार्म पर कंज्यूमर्स को सबसे ज्यादा आकर्षित कर रहा है।,neu
वाइ-फाइ और ब्लूटूथ की सुविधा भी इसमें मौजूद है।,neu
अच्छी परफार्मेंस है।,pos
फि्लपअप डिस्पले के साथ आए इस कैमरे से दूसरों की फोटो खींचने के अलावा खुद की सेल्फी भी ले सकते हैं ।,pos
बेहतरीन कैमरा है।,pos
अब यह फिल्मकारों पर निर्भर करता है कि वे उनके किन शेड्स को उभार और बाहर निकाल पाने में सक्षम है।,neu
5 मेगापिक्सेल का रियर कैमरा और 1.2 मेगापिक्सेल का फ्रंट फेसिंग कैमरा है,neu
लेकिन इसमें कमी यह हैं कि इसका डिस्प्ले ज्यादा ब्राइट नहीं है।,neg
लेनोवो महान मल्टीमीडिया क्षमताओं के साथ एक मॉडल के रूप में श्रृंखला में एक लैपटॉप प्रदान की गई है।,pos
हालांकि इसकी कीमत 21900 रूपए है।,neu
मुश्किल और जटिल दृश्यों में भी वे अपने किरदार को एक्सरप्रेशन की आजादी नहीं देते।,neu
"साफ़ तौर पर इसका मतलब यही है कि यह डिवाइस देखने में इतना बुरा नहीं लगता, हालाँकि अगर इसकी Rs 15,799 कीमत पर गौर करी तो यह एक बढ़िया डिजाईन वाला स्मार्टफ़ोन है।",pos
लेनोवो फ्लैक्स 2-यह लैपटॉप कंपनी के बजट डिवाइस में से एक है जिसकी 14 इंच की स्क्रीन है।,neu
अच्छी बनावट गुणवत्ता है।,pos
"चूंकि इस पैकेज में कोई HDMI एडॉप्टर शामिल नहीं है ,  तो यूजर को इसे अलग से ही खरीदना होगा।",neu
मुन्नार केरल का एक ख़ूबसूरत हिल स्टेशन है।,pos
इसकी 2000mAh बैटरी एक बार के चार्ज में करीब 12-13 घंटे चली।,neu
इस टेबलेट का टचस्क्रीन रिस्पोंस काफी अच्छा है  और इसे इस्तेमाल करने में बहुत आराम रहता है।,pos
टैब 7 प्लस के डिस्प्ले का कम रेजोल्यूशन इसमें एक कमी है।,neg
बिना व्यवधान का प्रदर्शन है।,pos
लेकिन माइक्रोमैक्स ने इतनी कम कीमत में 1 जीबी रैम देकर दूसरी कई कम्पनियों के लिए कड़ी चुनौती पेश की है।,pos
यह खास तौर से एक छोटे स्मार्टफोन के स्क्रीन पर हार्इ क्वालिटी एप्प की तरह नहीं लगता है,neg
लूमिया 920 (Lumia 920) में डुअल-कोर 1.5 गीगाहर्ट्ज का क्वालकॉम स्नेपड्रैगन एस4 एमएसएम8960 मोबाइल प्रोसेसर के साथ एड्रीनो 225 ग्राफिक्स चिप और 1 जीबी की रैम है।,neu
साथ ही फिल्म में बेहद मनोरंजक तरीके से हास्य का तानाबाना भी बुना गया है।,pos
इसके पिछली तरफ टेबलेट का 5MP रियर कैमरा  है  जो जरूरत पड़ने पर आपके स्मार्टफोन कैमरा का अच्छा विकल्प है।,pos
